calibration_spec_id,base_task_source_id,task_family,source_edge,window_tag,executable_source_family,env_template_family,track_width_scale,finish_variant,max_steps_scale,track_width,finish_pass_distance,max_steps,contract_violation_count,environment_rollout_scheduled,profile_specific_tuning
m1680-spec-0044::tw1.5::finish_original::max1,m1680-spec-0044,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,original,1.0,7.5,2.0,420,0,False,False
m1680-spec-0044::tw1.5::finish_original::max1.5,m1680-spec-0044,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,original,1.5,7.5,2.0,630,0,False,False
m1680-spec-0044::tw1.5::finish_relaxed::max1,m1680-spec-0044,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,relaxed,1.0,7.5,1.0,420,0,False,False
m1680-spec-0044::tw1.5::finish_relaxed::max1.5,m1680-spec-0044,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,relaxed,1.5,7.5,1.0,630,0,False,False
m1680-spec-0044::tw2::finish_original::max1,m1680-spec-0044,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,2.0,original,1.0,10.0,2.0,420,0,False,False
m1680-spec-0044::tw2::finish_original::max1.5,m1680-spec-0044,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,2.0,original,1.5,10.0,2.0,630,0,False,False
m1680-spec-0044::tw2::finish_relaxed::max1,m1680-spec-0044,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,2.0,relaxed,1.0,10.0,1.0,420,0,False,False
m1680-spec-0044::tw2::finish_relaxed::max1.5,m1680-spec-0044,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,2.0,relaxed,1.5,10.0,1.0,630,0,False,False
m1680-spec-0045::tw1::finish_original::max1,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,1.0,original,1.0,5.0,2.0,420,0,False,False
m1680-spec-0045::tw1::finish_original::max1.5,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,1.0,original,1.5,5.0,2.0,630,0,False,False
m1680-spec-0045::tw1::finish_relaxed::max1,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,1.0,relaxed,1.0,5.0,1.0,420,0,False,False
m1680-spec-0045::tw1::finish_relaxed::max1.5,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,1.0,relaxed,1.5,5.0,1.0,630,0,False,False
m1680-spec-0045::tw1.5::finish_original::max1,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,1.5,original,1.0,7.5,2.0,420,0,False,False
m1680-spec-0045::tw1.5::finish_original::max1.5,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,1.5,original,1.5,7.5,2.0,630,0,False,False
m1680-spec-0045::tw1.5::finish_relaxed::max1,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,1.5,relaxed,1.0,7.5,1.0,420,0,False,False
m1680-spec-0045::tw1.5::finish_relaxed::max1.5,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,1.5,relaxed,1.5,7.5,1.0,630,0,False,False
m1680-spec-0045::tw2::finish_original::max1,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,2.0,original,1.0,10.0,2.0,420,0,False,False
m1680-spec-0045::tw2::finish_original::max1.5,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,2.0,original,1.5,10.0,2.0,630,0,False,False
m1680-spec-0045::tw2::finish_relaxed::max1,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,2.0,relaxed,1.0,10.0,1.0,420,0,False,False
m1680-spec-0045::tw2::finish_relaxed::max1.5,m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,2.0,relaxed,1.5,10.0,1.0,630,0,False,False
m1680-spec-0046::tw1::finish_original::max1,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,1.0,original,1.0,5.0,2.0,420,0,False,False
m1680-spec-0046::tw1::finish_original::max1.5,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,1.0,original,1.5,5.0,2.0,630,0,False,False
m1680-spec-0046::tw1::finish_relaxed::max1,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,1.0,relaxed,1.0,5.0,1.0,420,0,False,False
m1680-spec-0046::tw1::finish_relaxed::max1.5,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,1.0,relaxed,1.5,5.0,1.0,630,0,False,False
m1680-spec-0046::tw1.5::finish_original::max1,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,original,1.0,7.5,2.0,420,0,False,False
m1680-spec-0046::tw1.5::finish_original::max1.5,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,original,1.5,7.5,2.0,630,0,False,False
m1680-spec-0046::tw1.5::finish_relaxed::max1,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,relaxed,1.0,7.5,1.0,420,0,False,False
m1680-spec-0046::tw1.5::finish_relaxed::max1.5,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,relaxed,1.5,7.5,1.0,630,0,False,False
m1680-spec-0046::tw2::finish_original::max1,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,2.0,original,1.0,10.0,2.0,420,0,False,False
m1680-spec-0046::tw2::finish_original::max1.5,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,2.0,original,1.5,10.0,2.0,630,0,False,False
m1680-spec-0046::tw2::finish_relaxed::max1,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,2.0,relaxed,1.0,10.0,1.0,420,0,False,False
m1680-spec-0046::tw2::finish_relaxed::max1.5,m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,2.0,relaxed,1.5,10.0,1.0,630,0,False,False
m1680-spec-0047::tw1::finish_original::max1,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,1.0,original,1.0,5.0,2.0,420,0,False,False
m1680-spec-0047::tw1::finish_original::max1.5,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,1.0,original,1.5,5.0,2.0,630,0,False,False
m1680-spec-0047::tw1::finish_relaxed::max1,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,1.0,relaxed,1.0,5.0,1.0,420,0,False,False
m1680-spec-0047::tw1::finish_relaxed::max1.5,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,1.0,relaxed,1.5,5.0,1.0,630,0,False,False
m1680-spec-0047::tw1.5::finish_original::max1,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,1.5,original,1.0,7.5,2.0,420,0,False,False
m1680-spec-0047::tw1.5::finish_original::max1.5,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,1.5,original,1.5,7.5,2.0,630,0,False,False
m1680-spec-0047::tw1.5::finish_relaxed::max1,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,1.5,relaxed,1.0,7.5,1.0,420,0,False,False
m1680-spec-0047::tw1.5::finish_relaxed::max1.5,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,1.5,relaxed,1.5,7.5,1.0,630,0,False,False
m1680-spec-0047::tw2::finish_original::max1,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,2.0,original,1.0,10.0,2.0,420,0,False,False
m1680-spec-0047::tw2::finish_original::max1.5,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,2.0,original,1.5,10.0,2.0,630,0,False,False
m1680-spec-0047::tw2::finish_relaxed::max1,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,2.0,relaxed,1.0,10.0,1.0,420,0,False,False
m1680-spec-0047::tw2::finish_relaxed::max1.5,m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,2.0,relaxed,1.5,10.0,1.0,630,0,False,False
m1680-spec-0048::tw1::finish_original::max1,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.0,original,1.0,5.0,2.0,420,0,False,False
m1680-spec-0048::tw1::finish_original::max1.5,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.0,original,1.5,5.0,2.0,630,0,False,False
m1680-spec-0048::tw1::finish_relaxed::max1,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.0,relaxed,1.0,5.0,1.0,420,0,False,False
m1680-spec-0048::tw1::finish_relaxed::max1.5,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.0,relaxed,1.5,5.0,1.0,630,0,False,False
m1680-spec-0048::tw1.5::finish_original::max1,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.5,original,1.0,7.5,2.0,420,0,False,False
m1680-spec-0048::tw1.5::finish_original::max1.5,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.5,original,1.5,7.5,2.0,630,0,False,False
m1680-spec-0048::tw1.5::finish_relaxed::max1,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.5,relaxed,1.0,7.5,1.0,420,0,False,False
m1680-spec-0048::tw1.5::finish_relaxed::max1.5,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.5,relaxed,1.5,7.5,1.0,630,0,False,False
m1680-spec-0048::tw2::finish_original::max1,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,2.0,original,1.0,10.0,2.0,420,0,False,False
m1680-spec-0048::tw2::finish_original::max1.5,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,2.0,original,1.5,10.0,2.0,630,0,False,False
m1680-spec-0048::tw2::finish_relaxed::max1,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,2.0,relaxed,1.0,10.0,1.0,420,0,False,False
m1680-spec-0048::tw2::finish_relaxed::max1.5,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,2.0,relaxed,1.5,10.0,1.0,630,0,False,False
m1680-spec-0049::tw1::finish_original::max1,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,1.0,original,1.0,5.0,2.0,420,0,False,False
m1680-spec-0049::tw1::finish_original::max1.5,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,1.0,original,1.5,5.0,2.0,630,0,False,False
m1680-spec-0049::tw1::finish_relaxed::max1,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,1.0,relaxed,1.0,5.0,1.0,420,0,False,False
m1680-spec-0049::tw1::finish_relaxed::max1.5,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,1.0,relaxed,1.5,5.0,1.0,630,0,False,False
m1680-spec-0049::tw1.5::finish_original::max1,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,1.5,original,1.0,7.5,2.0,420,0,False,False
m1680-spec-0049::tw1.5::finish_original::max1.5,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,1.5,original,1.5,7.5,2.0,630,0,False,False
m1680-spec-0049::tw1.5::finish_relaxed::max1,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,1.5,relaxed,1.0,7.5,1.0,420,0,False,False
m1680-spec-0049::tw1.5::finish_relaxed::max1.5,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,1.5,relaxed,1.5,7.5,1.0,630,0,False,False
m1680-spec-0049::tw2::finish_original::max1,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,2.0,original,1.0,10.0,2.0,420,0,False,False
m1680-spec-0049::tw2::finish_original::max1.5,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,2.0,original,1.5,10.0,2.0,630,0,False,False
m1680-spec-0049::tw2::finish_relaxed::max1,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,2.0,relaxed,1.0,10.0,1.0,420,0,False,False
m1680-spec-0049::tw2::finish_relaxed::max1.5,m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,2.0,relaxed,1.5,10.0,1.0,630,0,False,False
m1680-spec-0050::tw1::finish_original::max1,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.0,original,1.0,5.0,2.0,420,0,False,False
m1680-spec-0050::tw1::finish_original::max1.5,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.0,original,1.5,5.0,2.0,630,0,False,False
m1680-spec-0050::tw1::finish_relaxed::max1,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.0,relaxed,1.0,5.0,1.0,420,0,False,False
m1680-spec-0050::tw1::finish_relaxed::max1.5,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.0,relaxed,1.5,5.0,1.0,630,0,False,False
m1680-spec-0050::tw1.5::finish_original::max1,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.5,original,1.0,7.5,2.0,420,0,False,False
m1680-spec-0050::tw1.5::finish_original::max1.5,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.5,original,1.5,7.5,2.0,630,0,False,False
m1680-spec-0050::tw1.5::finish_relaxed::max1,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.5,relaxed,1.0,7.5,1.0,420,0,False,False
m1680-spec-0050::tw1.5::finish_relaxed::max1.5,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,1.5,relaxed,1.5,7.5,1.0,630,0,False,False
m1680-spec-0050::tw2::finish_original::max1,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,2.0,original,1.0,10.0,2.0,420,0,False,False
m1680-spec-0050::tw2::finish_original::max1.5,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,2.0,original,1.5,10.0,2.0,630,0,False,False
m1680-spec-0050::tw2::finish_relaxed::max1,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,2.0,relaxed,1.0,10.0,1.0,420,0,False,False
m1680-spec-0050::tw2::finish_relaxed::max1.5,m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,2.0,relaxed,1.5,10.0,1.0,630,0,False,False
m1680-spec-0051::tw1::finish_original::max1,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.0,original,1.0,5.0,2.0,420,0,False,False
m1680-spec-0051::tw1::finish_original::max1.5,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.0,original,1.5,5.0,2.0,630,0,False,False
m1680-spec-0051::tw1::finish_relaxed::max1,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.0,relaxed,1.0,5.0,1.0,420,0,False,False
m1680-spec-0051::tw1::finish_relaxed::max1.5,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.0,relaxed,1.5,5.0,1.0,630,0,False,False
m1680-spec-0051::tw1.5::finish_original::max1,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,original,1.0,7.5,2.0,420,0,False,False
m1680-spec-0051::tw1.5::finish_original::max1.5,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,original,1.5,7.5,2.0,630,0,False,False
m1680-spec-0051::tw1.5::finish_relaxed::max1,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,relaxed,1.0,7.5,1.0,420,0,False,False
m1680-spec-0051::tw1.5::finish_relaxed::max1.5,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,1.5,relaxed,1.5,7.5,1.0,630,0,False,False
m1680-spec-0051::tw2::finish_original::max1,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,2.0,original,1.0,10.0,2.0,420,0,False,False
m1680-spec-0051::tw2::finish_original::max1.5,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,2.0,original,1.5,10.0,2.0,630,0,False,False
m1680-spec-0051::tw2::finish_relaxed::max1,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,2.0,relaxed,1.0,10.0,1.0,420,0,False,False
